time,open,high,low,close,Factor 1,High band,Low band,High band 2,Low band 2,High band 2,Low band 2,Line 1,Line 2,,Plot,Plot,Plot,Plot,Plot,Plot
2010-09-07,114.22,116.06,114.22,116.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-09-10,115.94,117.3,115.94,117.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-09-15,117.3,117.3,116.48,116.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-09-20,116.33,117.78,116,116.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-09-23,114.95,118.13,114.95,117.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-09-28,116.35,117.62,116.35,117.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-10-06,117.04,117.04,117.04,117.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-10-11,119.64,120.57,119.64,120.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-10-14,120.99,121.93,120.78,121.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-10-19,122.18,123.66,121.29,123.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-10-22,123.28,124.01,123.28,123.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-10-27,123.11,124.01,122.84,123.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-01,123.89,124.74,123.38,123.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-04,123.65,126.26,123.65,126.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-09,125.93,126.79,125.48,125.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-12,125.69,126.79,123.77,124.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-17,125.01,127.87,125,127.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.80087237597299,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-22,128.33,128.33,125.71,127.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.2480812604584,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-25,127.73,128.33,125.46,125.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.72703758455292,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-11-30,125.37,130.33,124.51,130.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.47602217173937,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-03,130.33,132.02,129.91,131.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.79159238135547,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-08,130.52,131.45,130.36,131.21001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.94113467464285,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-13,131.77,131.84,130.73,131.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.67978884156159,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-16,131.75,132.39999,131.00999,131.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.604127106537,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-21,132.55,132.92,132.48,132.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.09958143690464,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-27,132,132,130.57001,131.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.85078570806397,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-30,131.32001,131.32001,129,129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.65966417943801,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-01-03,132,132,129.46001,130.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.92034844725366,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-01-06,131.62,131.62,128.77,128.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.02979738783964,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-01-11,129.53999,132.62,129.53999,132.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.67220655495653,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-01-14,132.2,132.67,132.2,132.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.791866105471456,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-01-19,133.77,133.77,131.36,132.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.56235098420898,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-01-24,131.59,133.63,131.39999,133.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.27082512581163,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-01-27,133.60001,134.21001,132.17999,132.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.56533860207304,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-02-01,134.85001,134.85001,133.14999,134.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.84880758454918,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-02-04,134.86,137.00999,134,137.00999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.11511596812946,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-02-09,137.41,138.2,136.39999,138.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.21427304976136,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-02-14,138.7,138.94,138.33,138.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.00312570321842,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-02-17,138.89999,138.89999,136.92,136.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.50790950274411,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-02-22,137,137.03,132.99001,132.99001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.44296968861131,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-02-25,130.59,137.16,130.59,135.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.49027353264616,56.43434817827015,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-02,133.61,136.28,133.39,134.03999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.36891003923722,55.63629799453948,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-07,134.64,134.99001,133.46001,133.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.68432046853652,54.67176566863144,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-10,131.74001,131.89,128.19,128.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.45818769373644,52.775192904854975,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-15,122.65,125.58,122.1,122.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.03817538983044,49.56084976075599,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-18,125.9,127.7,125.27,127.1,66.00654306919017,86.66900101191625,45.344085126464094,NaN,NaN,NaN,NaN,44.81765956038409,46.44206854185463,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-23,128.17999,129.74001,128.17999,129.74001,65.00586620545202,85.72067953955121,44.29105287135283,NaN,NaN,NaN,NaN,43.41848322703773,44.09739075792575,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-28,129.7,132.14,129.7,132.13,64.02014412769242,84.15429463838615,43.8859936169987,NaN,NaN,NaN,NaN,43.206189024476224,42.859706872036966,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-03-31,132.07001,134.55,131.92,134.46001,63.231465423787725,82.74484119129725,43.718089656278195,NaN,NaN,NaN,NaN,46.18208566883356,42.926838605621924,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-04-05,133.92999,135.17999,133.92999,135.17999,62.666678356564276,81.87609845144809,43.45725826168046,NaN,NaN,NaN,NaN,51.364562319926655,44.035644820370905,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-04-08,135,135,134.44,134.47,61.80641440036058,80.4572509346142,43.15557786610697,NaN,NaN,NaN,NaN,53.92869566448015,45.30472615802583,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-04-13,133.58,133.88,133.58,133.88,60.994977523559996,79.16624090849841,42.82371413862158,NaN,NaN,NaN,NaN,55.188472590871584,46.51647621500428,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-04-18,130.94,135,130.84,134.89999,60.53334610866121,78.72875179202225,42.33794042530018,NaN,NaN,NaN,NaN,55.9974691286361,47.6562075673078,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-04-21,136.28,136.28,135.92,135.92,59.845938842496594,77.55413178293253,42.137745902060665,NaN,NaN,NaN,NaN,56.44068170272628,48.80928047013291,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-04-28,139.03999,141.33,139.03999,140.72,59.2111944950741,76.17178639214879,42.250602597999425,NaN,NaN,NaN,NaN,58.23575530805583,50.25445014898143,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-05-03,139.7,140.53999,136.61,137.31,58.49999898278918,74.74718202162894,42.252815943949415,NaN,NaN,NaN,NaN,58.64377458789322,51.68736027326804,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-05-06,138.21001,140.16,138.08,139.66,58.013597124952305,73.32987312185256,42.69732112805205,NaN,NaN,NaN,NaN,60.066930753034555,53.616684775202266,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-05-11,140.62,140.62,137.64,137.64,57.3940450202173,71.65083645937241,43.13725358106219,NaN,NaN,NaN,NaN,60.15118462090727,55.28986881320166,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-05-16,136.45,137.48,135.42999,135.83,56.61945823051706,69.52520050697326,43.71371595406086,NaN,NaN,NaN,NaN,59.04823598096148,56.28061809083759,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-05-19,137.74001,138.46001,132.59,132.66,55.93758422136394,68.27849989369042,43.59666854903746,NaN,NaN,NaN,NaN,55.125042409439025,56.327600517805045,50,NaN,NaN,NaN,NaN,NaN,NaN
2011-05-24,132.99001,133.64999,132.37,132.37,55.558721603719185,67.96809791585021,43.14934529158816,NaN,NaN,NaN,NaN,52.796897796757094,55.67678957334262,50,NaN,NaN,NaN,NaN,NaN,NaN
