time,open,high,low,close,Factor 1,High band,Low band,High band 2,Low band 2,High band 2,Low band 2,Line 1,Line 2,,Plot,Plot,Plot,Plot,Plot,Plot
2018-05-22,4.249,4.249,4.249,4.249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-05-25,4.2825,4.2825,4.215,4.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-05-30,4.1835,4.257,4.181,4.2405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-04,4.2305,4.271,4.212,4.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-07,4.2785,4.302,4.271,4.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-12,4.25,4.271,4.215,4.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-15,4.215,4.2395,4.2025,4.2383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-20,4.2965,4.2965,4.245,4.2555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-25,4.175,4.175,4.1053,4.1403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-28,4.107,4.1618,4.1023,4.1023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-03,4.1123,4.1123,4.081,4.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-06,4.0735,4.1733,4.0435,4.1733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-11,4.123,4.1915,4.1043,4.1043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-16,4.1315,4.243,4.125,4.243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-19,4.233,4.2545,4.1945,4.2545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-24,4.258,4.2855,4.233,4.2855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-27,4.292,4.292,4.245,4.245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.49563576443576,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-01,4.277,4.339,4.2715,4.3265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.68350754566639,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-06,4.354,4.3725,4.339,4.372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.669351720335214,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-09,4.38,4.3905,4.3635,4.3755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.509276362856085,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-14,4.3665,4.4225,4.36,4.4225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.49370770932101,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-17,4.414,4.4355,4.41,4.4355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.452741465920646,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-22,4.389,4.3985,4.355,4.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.12623891006232,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-27,4.359,4.384,4.3435,4.3435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.88511049053636,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-30,4.3375,4.3505,4.309,4.3505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.72675878193492,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-04,4.36,4.379,4.3585,4.3585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.048758303465476,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-07,4.361,4.361,4.356,4.356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.12012146594729,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-12,4.348,4.348,4.209,4.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.41228410194118,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-17,4.2275,4.2665,4.1995,4.2665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.7018643827018,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-20,4.284,4.2885,4.232,4.232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.203959858484225,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-25,4.234,4.238,4.1635,4.1635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.40657558554669,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-28,4.1395,4.146,4.1055,4.1055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.867251226489415,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-04,4.254,4.254,4.2295,4.2375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.91072820851987,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-09,4.268,4.268,4.0765,4.0765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.10845839966712,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-12,4.0485,4.049,3.9115,3.9305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.6377651019296,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-17,3.9875,4.038,3.986,3.986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.278393814645895,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-22,3.9725,3.9755,3.7845,3.7845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.22020473389837,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-25,3.7715,3.901,3.762,3.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.00913972431937,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
