time,open,high,low,close,Factor 1,High band,Low band,High band 2,Low band 2,High band 2,Low band 2,Line 1,Line 2,,Plot,Plot,Plot,Plot,Plot,Plot
2021-05-25,10.222,10.222,10.222,10.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-05-28,10.274,10.404,10.274,10.336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-02,10.35,10.42,10.35,10.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-07,10.522,10.538,10.512,10.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10,10.456,10.524,10.456,10.516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-15,10.508,10.516,10.49,10.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-18,10.4,10.4,10.306,10.372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-23,10.284,10.434,10.284,10.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-28,10.406,10.406,10.246,10.272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-01,10.35,10.41,10.33,10.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-06,10.35,10.35,10.05,10.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-09,10.05,10.348,10.05,10.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-14,10.05,10.312,10.05,10.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-19,9.812,10.12,9.779,10.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-22,9.812,10.37,9.779,10.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-27,10.326,10.47,10.292,10.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-07-30,10.42,10.422,10.404,10.404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.58771709206941,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-04,10.412,10.664,10.412,10.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.79507257697687,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-09,10.412,10.862,10.412,10.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.96173523906638,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-12,10.86,10.942,10.83,10.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.35745398034741,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-17,10.772,10.818,10.642,10.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.322841088098755,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-20,10.772,10.772,10.63,10.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.02432343661303,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-25,10.68,10.68,10.63,10.662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.128903430682726,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-08-30,10.68,10.748,10.658,10.748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.86494266034629,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-02,10.748,10.774,10.706,10.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.7772313317412,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-07,10.712,10.712,10.57,10.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.066816694980844,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-10,10.57,10.672,10.538,10.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.542106550391495,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-15,10.576,10.718,10.552,10.552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.09601035820708,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-20,10.718,10.718,10.31,10.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.192552158447825,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-23,10.524,10.754,10.524,10.754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.59762401773842,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-28,10.524,10.66,10.524,10.592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.0293108183732,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-10-01,10.554,10.664,10.47,10.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.610698602729386,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-10-06,10.554,10.72,10.526,10.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.6591742116817,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-10-11,10.72,10.72,10.65,10.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.25888187722946,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-10-14,10.778,10.9,10.766,10.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.649487147913874,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-10-19,10.856,10.996,10.856,10.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.15197931427222,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-10-22,11.012,11.164,10.99,11.164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.17173964901326,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
