time,open,high,low,close,Factor 1,High band,Low band,High band 2,Low band 2,High band 2,Low band 2,Line 1,Line 2,,Plot,Plot,Plot,Plot,Plot,Plot
2020-09-28,10,11.42,9.11,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-01,9.69,10.1,8.92,9.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-06,9.04,10.49,8.9,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-09,10.13,10.19,9.41,9.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-14,9.6,9.95,9.18,9.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-19,9.79,9.82,9.2,9.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-22,9.37,9.97,9.22,9.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-27,10,11.1,9.92,10.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-10-30,10.61,10.94,9.85,10.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-04,10.82,14.96,10.55,13.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-09,14.96,15.97,13.18,15.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-12,16.66,17.06,14.41,15.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-17,16.29,19.25,16.18,18.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-20,19.03,24.27,18,23.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-11-25,23.96,33.5,23.69,27.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-01,28.09,28.14,21.15,24.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-04,24.88,31.24,23.51,28.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.74930922320416,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-09,28.68,28.85,25.15,27.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.93726085868283,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-14,28.26,28.26,25.11,25.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.43576641410601,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-17,26.52,28.7,25.4,28.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.21248199440147,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-22,29.03,29.42,26.82,27.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.25636021329403,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-28,28.39,28.59,24.34,25.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.70140734953826,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2020-12-31,24.63,24.72,23.52,23.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.25619146377196,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-04,23.91,24.67,22.5,23.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.70532850668707,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-07,24.02,26.6,23.67,25.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.44443424301707,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-12,26.34,27.4298,24.37,24.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.07365073215226,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
2021-01-15,26.26,28,25.46,26.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.98095697775104,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN
